NAME,ZIP,URL,Borough,Latitude,Longitude,Address
New School University / Parsons School Of Design,10011,http://www.parsons.edu/html/splash.html,Manhattan,40.73519616365903,-73.99465215457163,66 FIFTH AVENUE New York
New School University / The New School,10011,http://www.newschool.edu/,Manhattan,40.73546280987431,-73.99706966379965,66 WEST 12 STREET New York
Metropolitan College,10013,http://www.metropolitan.edu/,Manhattan,40.723441859057495,-74.00681944352681,75 VARICK STREET New York
"School Of Nursing Of St. Vincents Catholic Medical Centers, The",11365,http://www.svcmc.org/portal/training/allied_health.asp,Queens,40.73944287003665,-73.79439300079635,175-05 HORACE HARDING EXPRESSWAY Fresh Meadows
Bramson Ort College,11375,http://www.bramsonort.org/,Queens,40.721371886956774,-73.84872054010768,69-30 AUSTIN STREET Forest Hills
"College Of Aeronautics, Laguardia Airport",11369,http://www.aero.edu/,Queens,40.76781246562115,-73.88262668869274,86-01 23 AVENUE East Elmhurst
Wagner College,10301,http://www.wagner.edu/,StatenIsland,40.61477207128726,-74.09254228397026,1 CAMPUS ROAD Staten Island
Herbert H Lehman College (Cuny),10468,http://www.lehman.cuny.edu,Bronx,40.87459002193658,-73.89290953903091,250 BEDFORD PARK BLVD WEST Bronx
Eugenio Maria De Hostos Comm Coll (Cuny),10451,http://www.hostos.cuny.edu,Bronx,40.817826050895235,-73.92693174513067,500 GRAND CONCOURSE Bronx
Bronx Community College (Cuny),10453,http://www.bcc.cuny.edu,Bronx,40.8568141091849,-73.90883250414988,80 WEST 181 STREET Bronx
Medgar Evers College (Cuny),11225,http://www.mec.cuny.edu,Brooklyn,40.66633782727834,-73.95764418177963,1650 BEDFORD AVENUE Brooklyn
Brooklyn College (Cuny),11210,http://www.brooklyn.cuny.edu,Brooklyn,40.63176554821801,-73.95348409151686,2900 BEDFORD AVENUE Brooklyn
Nyc Technical College (Cuny),11201,http://www.nyctc.cuny.edu,Brooklyn,40.69552146244829,-73.98766333253079,300 JAY STREET Brooklyn
Health Science Center At Brooklyn (Suny),11203,http://www.hscbklyn.edu,Brooklyn,40.65507267868331,-73.9449435524464,450 CLARKSON AVENUE Brooklyn
Hunter College School Social Work (Cuny),10021,http://www.hunter.cuny.edu,Manhattan,40.775351150446056,-73.95911733944205,129 EAST 79 STREET New York
Bernard M Baruch College (Cuny),10010,http://www.baruch.cuny.edu,Manhattan,40.74021907770699,-73.98339828552592,155 EAST 24 STREET New York
Borough Of Manhattan Comm College (Cuny),10013,http://www.bmcc.cuny.edu,Manhattan,40.71865472056016,-74.01183075983597,199 CHAMBERS STREET New York
Nys College Of Optometry (Suny),10036,http://www.sunyopt.edu,Manhattan,40.75449402764767,-73.98218892338582,33 WEST 42 STREET New York
Cuny Grad School&University Center (Cuny),10016,http://www.gc.cuny.edu,Manhattan,40.74845551426779,-73.98348992428072,365 FIFTH AVENUE New York
Baruch Grad Sch Of Politcal Management,10010,http://www.baruch.cuny.edu,Manhattan,40.74021907770699,-73.98339828552592,55 LEXINGTON AVENUE New York
Hunter College (Cuny),10021,http://www.hunter.cuny.edu,Manhattan,40.768569446676494,-73.96474222642745,695 PARK AVENUE New York
John Jay College Criminal Justice (Cuny),10019,http://www.jjay.cuny.edu,Manhattan,40.7702792782081,-73.98825336846367,899 10 AVENUE New York
Queensborough Community College (Cuny),11364,http://www.qcc.cuny.edu,Queens,40.75383842336462,-73.75759790651955,222-05 56 AVENUE Oakland Gardens
Fiorello H Laguardia Comm College (Cuny),11101,http://www.lagcc.cuny.edu,Queens,40.7439956895944,-73.93512379108051,31-10 THOMSON AVENUE Long Island City
School Of Law At Queens College (Cuny),11367,http://web.law.cuny.edu,Queens,40.737108318660674,-73.82453915216028,65-21 MAIN STREET Flushing
Queens College (Cuny),11367,http://www.qc.edu,Queens,40.735954805733996,-73.81829898457165,65-30 KISSENA BOULEVARD Flushing
Queens Coll Sch Math & Science,11367,http://www.qc.edu/,Queens,40.735954805733996,-73.81829898457165,65-30 KISSENA BOULEVARD Flushing
York College (Cuny),11433,http://www.york.cuny.edu,Queens,40.70172969617277,-73.79625692788854,94-20 GUY R BREWER BOULEVARD Jamaica
College Of Staten Island (Cuny),10314,http://www.csi.cuny.edu,StatenIsland,40.60063483947812,-74.14887611925316,2800 VICTORY BOULEVARD Staten Island
"College Of New Rochelle, The / School Of New Resources/John Cardinal O?Connor Campus",10451,http://www.cnr.edu/,Bronx,40.816519958982994,-73.92038932251565,332 EAST 149 STREET Bronx
Fordham University,10458,http://www.fordham.edu/,Bronx,40.86125886238194,-73.887390126939,441 EAST FORDHAM ROAD Bronx
Manhattan College,10471,http://www.manhattan.edu/,Bronx,40.889767124763196,-73.90190577626052,4513 MANHATTAN COLLEGE PARKWAY Bronx
College Of Mount St. Vincent,10471,http://www.cmsv.edu/,Bronx,40.91263942581352,-73.90284544181063,6301 RIVERDALE AVENUE Bronx
"College Of New Rochelle, The / School Of New Resources/Co-Op City Campus",10475,http://www.cnr.edu/,Bronx,40.88021177487783,-73.827002596629,755 CO-OP CITY BOULEVARD Bronx
Long Island University / Brooklyn Campus,11201,http://www.liu.edu/liu_start.html,Brooklyn,40.691699768257685,-73.98129553261923,1 UNIVERSITY PLAZA Brooklyn
"College Of New Rochelle, The / School Of New Resources/Brooklyn Campus",11216,http://www.cnr.edu/,Brooklyn,40.6799503315382,-73.9456342920531,1368 FULTON STREET Brooklyn
Institute Of Design And Construction,11201,http://www.idcbrooklyn.org/,Brooklyn,40.69230564267101,-73.98308348320116,141 WILLOUGHBY STREET Brooklyn
St. Francis College,11201,http://www.stfranciscollege.edu/,Brooklyn,40.69306855757583,-73.9921109815578,180 REMSEN STREET Brooklyn
"Boricua College, Northside Center",11211,http://www.boricuacollege.edu/,Brooklyn,40.71658090096847,-73.95775285303331,186 NORTH 6 STREET Brooklyn
Pratt Institute,11205,http://www.pratt.edu/,Brooklyn,40.69179151661372,-73.9641713381281,200 WILLOUGHBY AVENUE Brooklyn
St. Joseph's College / Brooklyn Campus,11205,http://www.sjcny.edu/home.html,Brooklyn,40.69052201077746,-73.96769005811436,245 CLINTON AVENUE Brooklyn
Long Island College Hospital School Of Nursing,11201,http://www.albany.net/~orchard/lich.html,Brooklyn,40.69055915437317,-73.99740081950995,339 HICKS STREET Brooklyn
