,Oversight Agency,Full Location Address,Borough,Postcode,Wheelchair Accessible,Assistive Technology,Affordability Connectivity Program,Productivity Tools,Job Readiness,Education,Creative Expression,Media and Entertainment,Certifications,Digital Literacy,Latitude,Longitude
47,DFTA,"411 Ovington Avenue, Brooklyn, NY",Brooklyn,11209,Partially,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,40.633477,-74.023321
118,DPR,"1555 Linden Boulevard, Brooklyn, NY",Brooklyn,11212,Yes,Yes,Not sure,Yes,Yes,No,No,No,No,No,40.656025,-73.902714
365,DYCD,"286 South Street, Manhattan, NY",Manhattan,10002,Yes,No,Not sure,No,No,No,No,No,No,No,40.710828,-73.986169
401,DPR,"2530 Jerome Avenue, Bronx, NY",Bronx,10468,Yes,Yes,Not sure,No,No,No,No,No,No,No,40.8646,-73.899038
356,DFTA,"175 Delancey Street, Brooklyn, NY",Manhattan,10002,Yes,Not sure,Yes,No,No,No,No,No,No,No,40.71725331,-73.98561673
400,NYPL,"1701 Martin Luther King, Jr. Boulevard, Bronx, NY",Bronx,10453,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,40.84949408,-73.91757753
94,BPL,"4211 18th Avenue, Brooklyn, NY",Brooklyn,11218,No,Yes,No,Yes,No,No,No,No,No,No,40.63569422,-73.97459471
125,DFTA,"1777 Pitkin Avenue, Brooklyn, NY",Brooklyn,11212,Yes,Not sure,Not sure,Yes,No,Yes,No,No,No,No,40.67018298,-73.90882726
28,BPL,"1197 Sutter Avenue, Brooklyn, NY",Brooklyn,11208,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,40.67270609,-73.87403349
41,DFTA,"1175 Gates Avenue, Brooklyn, NY",Brooklyn,11221,No,Not sure,Not sure,No,No,Yes,No,No,No,No,40.691707,-73.919907
196,NYPL,"503 West 145th Street, New York, NY",Manhattan,10031,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,40.82567237,-73.94803242
242,DYCD,"220 West 143rd Street, Manhattan, NY",Manhattan,10030,Yes,No,Not sure,Yes,Yes,Yes,Yes,Yes,No,No,40.820499,-73.940974
151,BPL,"431 Sixth Avenue, Brooklyn, NY",Brooklyn,11215,Yes,Yes,Not sure,Yes,Yes,Yes,No,No,No,No,40.66821669,-73.98342743
75,DFTA,"862 Park Avenue, Brooklyn, NY",Brooklyn,11206,Yes,No,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.69864114,-73.94027261
103,DFTA,"1960 East 7th Street, Brooklyn, NY",Brooklyn,11223,Yes,Not sure,Yes,No,No,Yes,No,No,No,No,40.603084,-73.965083
82,DYCD,"940 Hancock Street, Brooklyn, NY",Brooklyn,11233,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,40.685991,-73.917478
249,NYPL,"515 Malcolm X Boulevard, New York, NY",Manhattan,10030,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.81468863,-73.94095299
526,DFTA,"2070 Clinton Avenue, Bronx, NY",Bronx,10457,Yes,No,Yes,No,No,No,No,No,No,No,40.847236,-73.888101
326,NYPL,"2740 Barnes Avenue, Bronx, NY",Bronx,10467,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,40.86680443,-73.86322248
155,BPL,"5108 Fourth Avenue, Brooklyn, NY",Brooklyn,11220,Yes,Yes,Yes,No,Yes,No,No,No,No,No,40.64591212,-74.01363
