Facility Type,Borough,Facility Name,Phone,Address,Postcode,Latitude,Longitude,BIN,BBL
Nursing Home,Manhattan,Gouverneur Healthcare Services,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397447676, -73.98759853472393)",10002.0,40.712784,-73.988417,1003224.0,1002700032.0
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,212-318-8000,"1 Main St Roosevelt Island
New York, NY 10044
(40.76197648622593, -73.94999967494499)",10044.0,40.756368,-73.956054,1085548.0,1013730020.0
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,212-848-6000 ,"900 Main Street Roosevelt Island
New York, NY 10044
(40.76197648622593, -73.94999967494499)",10044.0,40.7698,-73.941218,1040750.0,1013730050.0
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397447676, -73.98759853472393)",10002.0,40.712784,-73.988417,1003224.0,1002700032.0
Acute Care Hospital,Manhattan,Bellevue Hospital Center,212-562-4141,"462 First Avenue
New York, NY 10016
(40.73962320748018, -73.97657284664467)",10016.0,40.739173,-73.976862,1086515.0,1009620100.0
Acute Care Hospital,Manhattan,Harlem Hospital Center,212-939-1000,"506 Lenox Avenue
New York, NY 10037
(40.814275217501645, -73.9406028312914)",10037.0,40.814358,-73.940659,1053899.0,1017330001.0
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,718-963-8000,"760 Broadway
Brooklyn, NY 11206
(40.70052661478004, -73.94164385876527)",11206.0,40.700528,-73.941604,3048341.0,3017230001.0
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,212-939-8950,"2698 Eighth Avenue
New York, NY 10030
(40.82213997942128, -73.94238974885882)",10030.0,40.821706,-73.94273,1060431.0,1020290001.0
Child Health Center,Queens,Parsons Communicare Clinic,718-334-6401,"90 37 Parsons Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)",11432.0,40.703826,-73.800483,4208836.0,4097560006.0
Acute Care Hospital,Brooklyn,Coney Island Hospital,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.58664543395709, -73.96583011577816)",11235.0,40.586552,-73.966168,3337274.0,3072390001.0
Child Health Center,Queens,South Queens Community Health Center,718-883-6699,"114 02 Guy R Brewer Blvd
Jamaica, NY 11434
(40.6769452621142, -73.77530690169215)",11434.0,40.688615,-73.785593,4264631.0,4122000052.0
Child Health Center,Manhattan,Judson Health Center,212-925-5000,"34 Spring Street
New York, NY 10012
(40.72173569231745, -73.9957194126485)",10012.0,40.721721,-73.995732,1007180.0,1004800021.0
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,718-647-0800,"1091 Sutter Avenue
Brooklyn, NY 11208
(40.671899036220196, -73.87831881794278)",11208.0,40.671892,-73.878197,3089620.0,3040390001.0
