Project ID,Project Name,Street,Borough,BBL,BIN,Latitude,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
44218,MEC E. 125TH ST. PARCEL B WEST,3 AVENUE,Manhattan,1017907501.0,1054691.0,40.804262,New Construction,No,Non Prevailing Wage,0,101,101,0,93,2,83,70,129,15,0,0,0,297,0,297,404
44225,Brook Avenue Apartments,EAST 147 STREET,Bronx,2022927501.0,2129098.0,40.813854,New Construction,No,Non Prevailing Wage,0,14,51,0,0,1,7,36,22,1,0,0,0,66,0,66,66
44230,Mermaid  / West. 16th Street,MERMAID AVENUE,Brooklyn,3070140053.0,3426941.0,40.575896,New Construction,No,Non Prevailing Wage,0,0,0,16,5,0,1,0,7,13,0,0,0,14,7,21,21
44239,Home for Harlem Dowling,ADAM C POWELL JR BOULEVARD,Manhattan,1019110061.0,1090253.0,40.81014,New Construction,No,Non Prevailing Wage,12,0,47,0,0,1,12,12,36,0,0,0,0,60,0,60,60
44256,WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,WEST 108 STREET,Manhattan,1018637501.0,1090749.0,40.801083,New Construction,No,Non Prevailing Wage,129,0,69,0,0,1,119,53,19,8,0,0,0,199,0,199,199
44265,CULVER EL PHASE I,37 STREET,Brooklyn,3052957501.0,3395126.0,40.64283,New Construction,No,Non Prevailing Wage,0,0,0,36,0,0,0,0,0,0,36,0,0,0,36,36,36
44280,ELTON CROSSING (AKA MELROSE COMMONS NORTH SITE C),EAST 162 STREET,Bronx,2023837501.0,2127429.0,40.824462,New Construction,No,Non Prevailing Wage,15,46,137,0,0,1,7,79,95,18,0,0,0,199,0,199,199
44281,STANLEY COMMONS,HENDRIX PLACE,Brooklyn,3043750001.0,3425901.0,40.658302,New Construction,No,Non Prevailing Wage,0,3,236,0,0,1,1,128,99,12,0,0,0,240,0,240,240
44282,NYCHA FULTON HOUSES,WEST 18 STREET,Manhattan,1007167506.0,1089965.0,40.743962,New Construction,No,Non Prevailing Wage,0,32,48,0,79,1,52,69,39,0,0,0,0,160,0,160,160
44285,VAN BUREN/GREENE,MADISON STREET,Brooklyn,3016410068.0,3425545.0,40.686892,New Construction,No,Non Prevailing Wage,0,0,0,6,14,0,2,6,2,9,1,0,0,10,10,20,20
44288,DEAN STREET RESIDENCES CONDOMINIUM,MOTHER GASTON BOULEVARD,Brooklyn,3014507501.0,3398696.0,40.674439,New Construction,No,Non Prevailing Wage,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,15,15
44295,Van Sinderen Plaza,VAN SINDEREN AVENUE,Brooklyn,3038507501.0,3427011.0,40.659906,New Construction,No,Non Prevailing Wage,11,22,68,0,0,1,0,47,39,16,0,0,0,102,0,102,102
44319,Williamsburg Apartments,MAUJER STREET,Brooklyn,3027850042.0,3251772.0,40.710342,New Construction,No,Non Prevailing Wage,8,3,41,0,0,1,0,24,26,3,0,0,0,53,0,53,53
44324,Clinton URA Site 7/CHDC,WEST 52 STREET,Manhattan,1010817501.0,1090143.0,40.766521,New Construction,No,Non Prevailing Wage,0,0,24,26,52,1,14,37,48,4,0,0,0,103,0,103,103
44332,HOPKINSON/PARK PLACE,THOMAS S BOYLAND STREET,Brooklyn,3014680063.0,3421942.0,40.67101,New Construction,No,Non Prevailing Wage,0,0,25,0,0,0,0,7,15,3,0,0,0,0,25,25,25
44333,HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,PLIMPTON AVENUE,Bronx,2028740027.0,2129309.0,40.843998,New Construction,No,Prevailing Wage,61,0,0,0,0,1,0,61,1,0,0,0,0,62,0,62,62
44339,BRONX COMMONS,EAST 162 STREET,Bronx,2023847501.0,2129268.0,40.824484,New Construction,No,Non Prevailing Wage,46,60,182,16,0,1,35,68,185,17,0,0,0,305,0,305,305
44340,BLAKE/HENDRIX,CLEVELAND STREET,Brooklyn,3040650022.0,3427213.0,40.669188,New Construction,No,Non Prevailing Wage,0,0,0,28,0,0,9,3,6,10,0,0,0,16,12,28,28
44348,Crossroads Plaza- Rental Low,SOUTHERN BOULEVARD,Bronx,2025827502.0,2128607.0,40.811296,New Construction,No,Non Prevailing Wage,0,28,107,0,0,1,0,7,83,46,0,0,0,136,0,136,136
44353,Walison. 280-282 E. Burnside Ave. Burnside Walton,EAST BURNSIDE AVENUE,Bronx,2028140073.0,2129357.0,40.851217,New Construction,No,Non Prevailing Wage,45,0,43,0,0,2,27,27,36,0,0,0,0,90,0,90,90
44357,Acacia Gardens,EAST 120 STREET,Manhattan,1018087501.0,1089835.0,40.798511,New Construction,No,Non Prevailing Wage,54,0,106,18,0,1,37,48,92,2,0,0,0,179,0,179,179
44371,Navy Green (Building R2),VANDERBILT AVENUE,Brooklyn,3020337502.0,3398205.0,40.69746,New Construction,No,Non Prevailing Wage,0,0,0,67,7,1,0,47,21,7,0,0,0,0,75,75,99
44388,2264 Morris Avenue,MORRIS AVENUE,Bronx,2031717501.0,2013863.0,40.857456,New Construction,No,Non Prevailing Wage,31,0,62,0,0,1,31,23,26,14,0,0,0,94,0,94,94
44409,Crotona Terrace II,BOSTON ROAD,Bronx,2029847503.0,2124684.0,40.838878,New Construction,No,Non Prevailing Wage,11,32,64,0,0,1,10,25,59,14,0,0,0,108,0,108,108
44431,WESTCHESTER MEWS,WESTCHESTER AVENUE,Bronx,2038057502.0,2128441.0,40.833705,New Construction,No,Non Prevailing Wage,31,21,153,0,0,1,48,67,57,34,0,0,0,206,0,206,206
44602,CYPRESS. 137 JAMAICA AVENUE,JAMAICA AVENUE,Brooklyn,3034870021.0,3326569.0,40.679152,New Construction,No,Prevailing Wage,53,0,0,0,0,1,0,53,1,0,0,0,0,54,0,54,54
45303,Prospect Plaza Redevelopment,PROSPECT PLACE,Brooklyn,3014580140.0,3425174.0,40.672564,New Construction,No,Prevailing Wage,0,46,63,0,0,1,0,18,85,7,0,0,0,110,0,110,110
45326,High Hawk,BOSTON ROAD,Bronx,2029910005.0,2119255.0,40.837938,New Construction,No,Non Prevailing Wage,0,0,18,54,0,1,1,16,48,8,0,0,0,73,0,73,73
