School Name,School Name,Building Address,Postcode,Borough,Latitude,Longitude
P.S. 33 - QUEENS,P.S. 33 - QUEENS,91-37 222 STREET,11204.0,Queens,40.727134,-73.735077
PRE-K CENTER @ 68-20 MYRTLE AVENUE - QUEENS,PRE-K CENTER @ 68-20 MYRTLE AVENUE - QUEENS,68-20 MYRTLE AVENUE,11385.0,Queens,40.701684,-73.883891
BROOKLYN ACADEMY HS - BROOKLYN,BROOKLYN ACADEMY HS - BROOKLYN,832 MARCY AVENUE,11204.0,Brooklyn,40.685004,-73.947152
AUTOMOTIVE TRADES VOC HS - K,AUTOMOTIVE TRADES VOC HS - K,50 BEDFORD AVENUE,11222.0,Brooklyn,40.721981,-73.953281
P.S. 377 - BROOKLYN,P.S. 377 - BROOKLYN,200 WOODBINE STREET,11221.0,Brooklyn,40.694018,-73.915263
P.S. 143 ANNEX - QUEENS,P.S. 143 ANNEX - QUEENS,98-07 38TH AVENUE,11368.0,Queens,40.750246,-73.867825
I.S. 484 - BROOKLYN,I.S. 484 - BROOKLYN,430 HOWARD AVE,11233.0,Brooklyn,40.673073,-73.919594
P.S. 110 - QUEENS,P.S. 110 - QUEENS,43-18 97TH PLACE,11236.0,Queens,40.745995,-73.866372
J.H.S. 47 (SCH FOR THE DEAF) -,J.H.S. 47 (SCH FOR THE DEAF) -,223 EAST 23 STREET,10010.0,Manhattan,40.738548,-73.982455
P.S. 106 - BROOKLYN,P.S. 106 - BROOKLYN,1328 PUTNAM AVENUE,11204.0,Brooklyn,40.693879,-73.913056
P.S. 317 - BRONX,P.S. 317 - BRONX,1028 WHITE PLAINS ROAD,10472.0,Bronx,40.827029,-73.860034
P.S. 154 - QUEENS,P.S. 154 - QUEENS,75-02 162 STREET,11204.0,Queens,40.726769,-73.806894
AUGUST MARTIN HS - QUEENS,AUGUST MARTIN HS - QUEENS,156-10 BAISLEY BOULEVARD,11204.0,Queens,40.675633,-73.783342
EDUCATIONAL CAMPUS @ 2202 60TH STREET - BROOKLYN,EDUCATIONAL CAMPUS @ 2202 60TH STREET - BROOKLYN,2202 60TH STREET,11204.0,Brooklyn,40.616479,-73.978093
P.S. 205 - BROOKLYN,P.S. 205 - BROOKLYN,6701 20 AVENUE,10301.0,Brooklyn,40.61527,-73.987149
MURRAY HILL ACADEMY HS - M,MURRAY HILL ACADEMY HS - M,111 EAST 33 STREET,11204.0,Manhattan,40.746176,-73.981241
P.S. 16 - STATEN ISLAND,P.S. 16 - STATEN ISLAND,80 MONROE AVENUE,10301.0,StatenIsland,40.6397,-74.079141
P.S. 53 - STATEN ISLAND,P.S. 53 - STATEN ISLAND,330 DURANT AVENUE,10308.0,StatenIsland,40.55258,-74.13706
Q075 SPED - QUEENS,Q075 SPED - QUEENS,155-02 108 AVENUE,11204.0,Queens,40.694119,-73.797003
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,509 WEST 129 STREET,11204.0,Manhattan,40.815256,-73.955325
MULTICULTURAL HS - BROOKLYN,MULTICULTURAL HS - BROOKLYN,999 JAMAICA AVENUE,11208.0,Brooklyn,40.691146,-73.868328
3K CENTER @ 104-06 101 AVENUE - QUEENS,3K CENTER @ 104-06 101 AVENUE - QUEENS,104-06 101 AVENUE,11416.0,Queens,40.686281,-73.838882
P.S. 26 - STATEN ISLAND,P.S. 26 - STATEN ISLAND,4108 VICTORY BOULEVARD,11204.0,StatenIsland,40.591702,-74.190648
THE FAMILY SCHOOL - BRONX,THE FAMILY SCHOOL - BRONX,1116 SHERIDAN AVENUE,10456.0,Bronx,40.831992,-73.91796
I.S. 255 - MANHATTAN,I.S. 255 - MANHATTAN,320 EAST 20 STREET,11204.0,Manhattan,40.735751,-73.981655
P.S. 132 - MANHATTAN,P.S. 132 - MANHATTAN,185 WADSWORTH AVENUE,11204.0,Manhattan,40.850626,-73.934377
P.S. 299 - BROOKLYN,P.S. 299 - BROOKLYN,88 WOODBINE STREET,11204.0,Brooklyn,40.691077,-73.918152
I.S. 393 - BROOKLYN,I.S. 393 - BROOKLYN,1014 LAFAYETTE AVENUE,11221.0,Brooklyn,40.692126,-73.931731
I.S. 204 - QUEENS,I.S. 204 - QUEENS,36-41 28 STREET,11204.0,Queens,40.757065,-73.932664
PRE-K CENTER @ 47-01 111TH STREET - QUEENS,PRE-K CENTER @ 47-01 111TH STREET - QUEENS,47-01 111TH STREET,11368.0,Queens,40.747399,-73.853546
THE 30TH AVENUE SCHOOL,THE 30TH AVENUE SCHOOL,31-51 21 STREET,10458.0,Queens,40.766264,-73.930709
3K CENTER @ 337 74TH STREET - BROOKLYN,3K CENTER @ 337 74TH STREET - BROOKLYN,337 74TH STREET,11209.0,Brooklyn,40.631898,-74.026398
P.S. 158 - MANHATTAN,P.S. 158 - MANHATTAN,1458 YORK AVENUE,11204.0,Manhattan,40.770419,-73.951135
I.S. 118 - BRONX,I.S. 118 - BRONX,577 EAST 179 STREET,11204.0,Bronx,40.848339,-73.89308
MILLENIUM ART ACADEMY - BRONX,MILLENIUM ART ACADEMY - BRONX,1980 LAFAYETTE AVENUE,10458.0,Bronx,40.82229,-73.856167
"HS FOR CONST.TRADES,ENGG.,& ARCH-Q","HS FOR CONST.TRADES,ENGG.,& ARCH-Q",94-06 104 STREET,11204.0,Queens,40.689591,-73.840717
P.S. 97 - BROOKLYN,P.S. 97 - BROOKLYN,1846 WEST 13TH STREET,11223.0,Brooklyn,40.601639,-73.985189
P.S. 143 ADDITION,P.S. 143 ADDITION,34-74 113 STREET,11368.0,Queens,40.755435,-73.855185
SHEEPSHEAD BAY HS - BROOKLYN,SHEEPSHEAD BAY HS - BROOKLYN,3000 AVENUE X,11235.0,Brooklyn,40.594124,-73.937696
P.S. 226 - BROOKLYN,P.S. 226 - BROOKLYN,6006 23 AVENUE,11204.0,Brooklyn,40.615252,-73.97635
P.S. 112 - MANHATTAN,P.S. 112 - MANHATTAN,535 EAST 119 STREET,11204.0,Manhattan,40.796668,-73.930966
CONCOURSE VILLAGE ELEMENTARY SCHOOL,CONCOURSE VILLAGE ELEMENTARY SCHOOL,750 CONCOURSE VILLAGE WEST,10301.0,Bronx,40.823174,-73.923326
P.S. 209 - BRONX,P.S. 209 - BRONX,313 EAST 183 STREET,10458.0,Bronx,40.856585,-73.897491
P.S. 200 - BROOKLYN,P.S. 200 - BROOKLYN,1940 BENSON AVENUE,11204.0,Brooklyn,40.603188,-74.001408
CAMBRIA HEIGHTS ACADEMY - QUEE,CAMBRIA HEIGHTS ACADEMY - QUEE,188-04 91ST AVENUE,10458.0,Queens,40.711849,-73.771195
TOWNSEND HARRIS HS - Q,TOWNSEND HARRIS HS - Q,149-11 MELBOURNE AVENUE,10458.0,Queens,40.734396,-73.821432
P.S. 105 - BROOKLYN,P.S. 105 - BROOKLYN,1031 59 STREET,11204.0,Brooklyn,40.632936,-74.00374
SEWARD PARK H.S.,SEWARD PARK H.S.,350 GRAND STREET,10002.0,Manhattan,40.717349,-73.989596
LYONS COMMUNITY SCHOOL - K,LYONS COMMUNITY SCHOOL - K,223 GRAHAM AVENUE,11204.0,Brooklyn,40.709941,-73.943641
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,290 ST MARKS PLACE,11204.0,StatenIsland,40.642793,-74.07873
P.S. 134 - QUEENS,P.S. 134 - QUEENS,203-02 109TH AVENUE,11204.0,Queens,40.70799,-73.755269
M079 SPED - MANHATTAN,M079 SPED - MANHATTAN,55 EAST 120 STREET,11204.0,Manhattan,40.802419,-73.942634
FOOD AND FINANCE HS - MANHATTA,FOOD AND FINANCE HS - MANHATTA,525 WEST 50 STREET,10019.0,Manhattan,40.765234,-73.993076
HS FOR VIOLIN AND DANCE - BRONX,HS FOR VIOLIN AND DANCE - BRONX,1110 BOSTON ROAD,11204.0,Bronx,40.827642,-73.904473
